2017112203P数字河道,监测时间：Lan7_2004-11-01_2004-12-01_NDWI_30m
"RS river width",53.66563181647428
"slop",0.002427433600000000
"adjusted slop",0.002427433600000000
"roughness coefficient",0.02000000000000000
" adjusted roughness coefficient",0.02000000000000000
"Water Level",3873.427435643564
"Water Depth",3.382322772274620
"velocity of flow",4.328460596846344
" runoff",556.7532776818142
"factor of velocity",1.000000000000000
"Width error%",2.000000000000000
"section smooth factor",200.0000000000000
"Section area",128.6261628643349
"wetted perimeter length",55.22613475575576
"hydraulic radius",2.329081392952805
