2017112203P数字河道,监测时间：Lan7_2019-8-01_2019-9-01_NDWI_30m
"RS river width",36.89512187382607
"slop",0.002427433600000000
"adjusted slop",0.002427433600000000
"roughness coefficient",0.02000000000000000
" adjusted roughness coefficient",0.02000000000000000
"Water Level",3870.880667326730
"Water Depth",0.8355544554410699
"velocity of flow",1.787543906527087
" runoff",41.08807142936227
"factor of velocity",1.000000000000000
"Width error%",2.000000000000000
"section smooth factor",200.0000000000000
"Section area",22.98576906521410
"wetted perimeter length",37.18685768480651
"hydraulic radius",0.6181153906587118
