2017112203P数字河道,监测时间：Lan7_2008-7-01_2008-8-01_NDWI_30m
"RS river width",6.708203977059285
"slop",0.002427433600000000
"adjusted slop",0.002427433600000000
"roughness coefficient",0.02000000000000000
" adjusted roughness coefficient",0.02000000000000000
"Water Level",3870.120263366337
"Water Depth",0.07515049504763738
"velocity of flow",0.2320053198359456
" runoff",0.04455358313000066
"factor of velocity",1.000000000000000
"Width error%",2.000000000000000
"section smooth factor",200.0000000000000
"Section area",0.1920369031257782
"wetted perimeter length",6.644361585938769
"hydraulic radius",0.02890223547318363
