2017112203P数字河道,监测时间：Lan7_2009-5-01_2009-6-01_NDWI_30m
"RS river width",3.354101988529643
"slop",0.002427433600000000
"adjusted slop",0.002427433600000000
"roughness coefficient",0.02000000000000000
" adjusted roughness coefficient",0.02000000000000000
"Water Level",3870.110688118812
"Water Depth",0.06557524752315658
"velocity of flow",0.3163872806430403
" runoff",0.04922657386936210
"factor of velocity",1.000000000000000
"Width error%",2.000000000000000
"section smooth factor",200.0000000000000
"Section area",0.1555896108380580
"wetted perimeter length",3.380395826878672
"hydraulic radius",0.04602703908249808
