2017112203P数字河道,监测时间：Lan7_2019-11-01_2019-12-01_NDWI_30m
"RS river width",30.18691789676678
"slop",0.002427433600000000
"adjusted slop",0.002427433600000000
"roughness coefficient",0.02000000000000000
" adjusted roughness coefficient",0.02000000000000000
"Water Level",3870.212500000000
"Water Depth",0.1673871287107431
"velocity of flow",0.3033181102257586
" runoff",0.3290696028236400
"factor of velocity",1.000000000000000
"Width error%",2.000000000000000
"section smooth factor",200.0000000000000
"Section area",1.084899291304152
"wetted perimeter length",25.11061782881442
"hydraulic radius",0.04320480279299341
