2017112203P数字河道,监测时间：Lan7_2000-8-01_2000-9-01_NDWI_30m
"RS river width",26.83281590823714
"slop",0.002427433600000000
"adjusted slop",0.002427433600000000
"roughness coefficient",0.02000000000000000
" adjusted roughness coefficient",0.02000000000000000
"Water Level",3870.153003960396
"Water Depth",0.1078910891069427
"velocity of flow",0.1535607915744157
" runoff",0.05740284040721775
"factor of velocity",1.000000000000000
"Width error%",2.000000000000000
"section smooth factor",200.0000000000000
"Section area",0.3738118293001914
"wetted perimeter length",24.01861712515184
"hydraulic radius",0.01556342013165874
