2017112206p数字河道,监测时间：Lan7_2013-3-01_2013-4-01_NDWI_30m
"RS river width",79.04477519298922
"slop",0.0002103405000000000
"adjusted slop",0.0002103405000000000
"roughness coefficient",0.02000000000000000
" adjusted roughness coefficient",0.02000000000000000
"Water Level",3627.786322772283
"Water Depth",4.983158415838716
"velocity of flow",1.091667938257420
" runoff",161.1839946279900
"factor of velocity",1.000000000000000
"Width error%",2.000000000000000
"section smooth factor",200.0000000000000
"Section area",147.6492887436822
"wetted perimeter length",79.93605605485426
"hydraulic radius",1.847092489056019
