2017112206p数字河道,监测时间：Lan7_2000-8-01_2000-9-01_NDWI_30m
"RS river width",54.08326723730842
"slop",0.0002103405000000000
"adjusted slop",0.0002103405000000000
"roughness coefficient",0.02000000000000000
" adjusted roughness coefficient",0.02000000000000000
"Water Level",3627.110152475250
"Water Depth",4.306988118805293
"velocity of flow",1.104947688322708
" runoff",114.3729056211268
"factor of velocity",1.000000000000000
"Width error%",2.000000000000000
"section smooth factor",200.0000000000000
"Section area",103.5097922099307
"wetted perimeter length",55.03209566906421
"hydraulic radius",1.880898609284069
