2017112206p数字河道,监测时间：Lan7_1999-7-01_1999-8-01_NDWI_30m
"RS river width",37.44226193352121
"slop",0.0002103405000000000
"adjusted slop",0.0002103405000000000
"roughness coefficient",0.02000000000000000
" adjusted roughness coefficient",0.02000000000000000
"Water Level",3626.343783168320
"Water Depth",3.540618811875447
"velocity of flow",1.065617112511410
" runoff",72.85979091903896
"factor of velocity",1.000000000000000
"Width error%",2.000000000000000
"section smooth factor",200.0000000000000
"Section area",68.37333040506967
"wetted perimeter length",38.38240165020522
"hydraulic radius",1.781371864850570
