2017112206p数字河道,监测时间：Lan7_2020-6-01_2020-7-01_NDWI_30m
"RS river width",41.60251325946801
"slop",0.0002103405000000000
"adjusted slop",0.0002103405000000000
"roughness coefficient",0.02000000000000000
" adjusted roughness coefficient",0.02000000000000000
"Water Level",3626.501798019805
"Water Depth",3.698633663359942
"velocity of flow",1.055017115257511
" runoff",78.71651498084168
"factor of velocity",1.000000000000000
"Width error%",2.000000000000000
"section smooth factor",200.0000000000000
"Section area",74.61159998492384
"wetted perimeter length",42.51716374758221
"hydraulic radius",1.754858353861074
