2017112304p数字河道,监测时间：Lan7_2018-10-01_2018-11-01_NDWI_30m
"RS river width",25.00000000000000
"slop",0.002300735400000000
"adjusted slop",0.002300735400000000
"roughness coefficient",0.02000000000000000
" adjusted roughness coefficient",0.02000000000000000
"Water Level",3129.452368000003
"Water Depth",0.6840359999996508
"velocity of flow",1.364120793122172
" runoff",14.67817336289486
"factor of velocity",1.000000000000000
"Width error%",2.000000000000000
"section smooth factor",50.00000000000000
"Section area",10.76017126701790
"wetted perimeter length",25.08389315681934
"hydraulic radius",0.4289673536618706
