2017112304p数字河道,监测时间：Lan7_2003-5-01_2003-6-01_NDWI_30m
"RS river width",75.00000000000000
"slop",0.002300735400000000
"adjusted slop",0.002300735400000000
"roughness coefficient",0.02000000000000000
" adjusted roughness coefficient",0.02000000000000000
"Water Level",3129.856188000007
"Water Depth",1.087856000003285
"velocity of flow",1.351113698259110
" runoff",42.00114257455453
"factor of velocity",1.000000000000000
"Width error%",2.000000000000000
"section smooth factor",50.00000000000000
"Section area",31.08631244629699
"wetted perimeter length",73.51676081107550
"hydraulic radius",0.4228466012829791
