2017112304p数字河道,监测时间：Lan7_2000-8-01_2000-9-01_NDWI_30m
"RS river width",40.00000000000000
"slop",0.002300735400000000
"adjusted slop",0.002300735400000000
"roughness coefficient",0.02000000000000000
" adjusted roughness coefficient",0.02000000000000000
"Water Level",3129.980868000000
"Water Depth",1.212535999996817
"velocity of flow",1.933907526407043
" runoff",54.85723513031920
"factor of velocity",1.000000000000000
"Width error%",2.000000000000000
"section smooth factor",50.00000000000000
"Section area",28.36600736139491
"wetted perimeter length",39.17415742685805
"hydraulic radius",0.7240999991986297
