2017112304p数字河道,监测时间：Lan7_2005-7-01_2005-8-01_NDWI_30m
"RS river width",15.00000000000000
"slop",0.002300735400000000
"adjusted slop",0.002300735400000000
"roughness coefficient",0.02000000000000000
" adjusted roughness coefficient",0.02000000000000000
"Water Level",3128.968392000002
"Water Depth",0.2000599999987571
"velocity of flow",0.4417568750925341
" runoff",0.5211922325276723
"factor of velocity",1.000000000000000
"Width error%",2.000000000000000
"section smooth factor",50.00000000000000
"Section area",1.179816912681889
"wetted perimeter length",14.92432237267628
"hydraulic radius",0.07905329858338621
