2017112301河道计算,监测时间：Lan7_2018-12-01_2019-1-01_NDWI_30m
"RS river width",13.41640744549228
"slop",0.007825409100000000
"adjusted slop",0.007825409100000000
"roughness coefficient",0.02000000000000000
" adjusted roughness coefficient",0.02000000000000000
"Water Level",2759.229121568628
"Water Depth",0.2488862745149163
"velocity of flow",0.7494593894027489
" runoff",0.7248520406253817
"factor of velocity",1.000000000000000
"Width error%",5.000000000000000
"section smooth factor",100.0000000000000
"Section area",0.9671665348045382
"wetted perimeter length",13.86642043132126
"hydraulic radius",0.06974882519932234
