2017112301河道计算,监测时间：Lan7_2020-4-01_2020-5-01_NDWI_30m
"RS river width",4.472135815164093
"slop",0.007825409100000000
"adjusted slop",0.007825409100000000
"roughness coefficient",0.02000000000000000
" adjusted roughness coefficient",0.02000000000000000
"Water Level",2759.135535294114
"Water Depth",0.1553000000008069
"velocity of flow",0.8015340136878267
" runoff",0.2110223690900624
"factor of velocity",1.000000000000000
"Width error%",5.000000000000000
"section smooth factor",100.0000000000000
"Section area",0.2632731306300486
"wetted perimeter length",3.412784489628058
"hydraulic radius",0.07714320415782874
