2017112301河道计算,监测时间：Lan7_2020-2-01_2020-3-01_NDWI_30m
"RS river width",22.36067907582047
"slop",0.007825409100000000
"adjusted slop",0.007825409100000000
"roughness coefficient",0.02000000000000000
" adjusted roughness coefficient",0.02000000000000000
"Water Level",2759.150423529411
"Water Depth",0.1701882352981556
"velocity of flow",0.4454110233621436
" runoff",0.3167848521185812
"factor of velocity",1.000000000000000
"Width error%",5.000000000000000
"section smooth factor",100.0000000000000
"Section area",0.7112191560221395
"wetted perimeter length",22.25600724593537
"hydraulic radius",0.03195627805845678
