2017112202-1数字河道,监测时间：Lan7_2012-12-01_2013-1-01_NDWI_30m
"RS river width",98.47867043041093
"slop",0.001642325700000000
"adjusted slop",0.001642325700000000
"roughness coefficient",0.03000000000000000
" adjusted roughness coefficient",0.03000000000000000
"Water Level",4077.464600000000
"Water Depth",3.301499999999578
"velocity of flow",1.773954213279596
" runoff",266.6948837587905
"factor of velocity",1.000000000000000
"Width error%",2.000000000000000
"section smooth factor",1.000000000000000
"Section area",150.3392149370860
"wetted perimeter length",99.90132736410139
"hydraulic radius",1.504877051224336
