2017112202-1数字河道,监测时间：Lan7_2010-11-01_2010-12-01_NDWI_30m
"RS river width",31.42936290332264
"slop",0.001642325700000000
"adjusted slop",0.001642325700000000
"roughness coefficient",0.03000000000000000
" adjusted roughness coefficient",0.03000000000000000
"Water Level",4075.652600000000
"Water Depth",1.489499999999680
"velocity of flow",0.8905650543804601
" runoff",15.40035291359139
"factor of velocity",1.000000000000000
"Width error%",2.000000000000000
"section smooth factor",1.000000000000000
"Section area",17.29278825599660
"wetted perimeter length",32.30569779172106
"hydraulic radius",0.5352860157203662
