2017112202-1数字河道,监测时间：Lan7_2012-11-01_2012-12-01_NDWI_30m
"RS river width",35.61994462376566
"slop",0.001642325700000000
"adjusted slop",0.001642325700000000
"roughness coefficient",0.03000000000000000
" adjusted roughness coefficient",0.03000000000000000
"Water Level",4075.829800000000
"Water Depth",1.666699999999764
"velocity of flow",1.000811565581061
" runoff",23.27413692964168
"factor of velocity",1.000000000000000
"Width error%",2.000000000000000
"section smooth factor",1.000000000000000
"Section area",23.25526375799719
"wetted perimeter length",36.46744823691719
"hydraulic radius",0.6376992326667683
