2017112202-1数字河道,监测时间：Lan7_2008-9-01_2008-10-01_NDWI_30m
"RS river width",27.23878118287962
"slop",0.001642325700000000
"adjusted slop",0.001642325700000000
"roughness coefficient",0.03000000000000000
" adjusted roughness coefficient",0.03000000000000000
"Water Level",4075.596200000000
"Water Depth",1.433099999999740
"velocity of flow",0.9254728395438054
" runoff",14.53048388106437
"factor of velocity",1.000000000000000
"Width error%",2.000000000000000
"section smooth factor",1.000000000000000
"Section area",15.70060542049716
"wetted perimeter length",27.68748192042478
"hydraulic radius",0.5670651258796843
