2017112202-1数字河道,监测时间：Lan7_2011-11-01_2011-12-01_NDWI_30m
"RS river width",37.71523548398717
"slop",0.001642325700000000
"adjusted slop",0.001642325700000000
"roughness coefficient",0.03000000000000000
" adjusted roughness coefficient",0.03000000000000000
"Water Level",4075.849100000000
"Water Depth",1.685999999999694
"velocity of flow",0.9871246831085494
" runoff",23.66985718547941
"factor of velocity",1.000000000000000
"Width error%",2.000000000000000
"section smooth factor",1.000000000000000
"Section area",23.97858911899638
"wetted perimeter length",38.38647094607334
"hydraulic radius",0.6246625055135269
