2017112202-1数字河道,监测时间：Lan7_2020-6-01_2020-7-01_NDWI_30m
"RS river width",62.85872580664528
"slop",0.001642325700000000
"adjusted slop",0.001642325700000000
"roughness coefficient",0.03000000000000000
" adjusted roughness coefficient",0.03000000000000000
"Water Level",4075.680400000000
"Water Depth",1.517299999999977
"velocity of flow",0.7113038998239022
" runoff",13.68424252144739
"factor of velocity",1.000000000000000
"Width error%",2.000000000000000
"section smooth factor",1.000000000000000
"Section area",19.23825038051275
"wetted perimeter length",50.34952296588015
"hydraulic radius",0.3820939950821330
