2017112202-1数字河道,监测时间：Lan7_2015-10-01_2015-11-01_NDWI_30m
"RS river width",20.95290860221509
"slop",0.001642325700000000
"adjusted slop",0.001642325700000000
"roughness coefficient",0.03000000000000000
" adjusted roughness coefficient",0.03000000000000000
"Water Level",4075.347400000000
"Water Depth",1.184299999999894
"velocity of flow",0.7943421976434029
" runoff",7.686714450126167
"factor of velocity",1.000000000000000
"Width error%",2.000000000000000
"section smooth factor",1.000000000000000
"Section area",9.676830052502004
"wetted perimeter length",21.46022332647178
"hydraulic radius",0.4509193546259776
