2017112202-1数字河道,监测时间：Lan7_2017-5-01_2017-6-01_NDWI_30m
"RS river width",58.66814408620225
"slop",0.001642325700000000
"adjusted slop",0.001642325700000000
"roughness coefficient",0.03000000000000000
" adjusted roughness coefficient",0.03000000000000000
"Water Level",4075.798800000000
"Water Depth",1.635699999999815
"velocity of flow",0.7734365711624861
" runoff",18.67084651198099
"factor of velocity",1.000000000000000
"Width error%",2.000000000000000
"section smooth factor",1.000000000000000
"Section area",24.14011336950158
"wetted perimeter length",55.72047681055259
"hydraulic radius",0.4332359439704188
