2017112202-1数字河道,监测时间：Lan7_2006-10-01_2006-11-01_NDWI_30m
"RS river width",29.33407204310113
"slop",0.001642325700000000
"adjusted slop",0.001642325700000000
"roughness coefficient",0.03000000000000000
" adjusted roughness coefficient",0.03000000000000000
"Water Level",4075.692900000000
"Water Depth",1.529799999999796
"velocity of flow",0.9726180660178394
" runoff",17.91571695300587
"factor of velocity",1.000000000000000
"Width error%",2.000000000000000
"section smooth factor",1.000000000000000
"Section area",18.42009477199785
"wetted perimeter length",30.15025158308284
"hydraulic radius",0.6109433190379505
