2017112202-1数字河道,监测时间：Lan7_2013-3-01_2013-4-01_NDWI_30m
"RS river width",54.47756236575924
"slop",0.001642325700000000
"adjusted slop",0.001642325700000000
"roughness coefficient",0.03000000000000000
" adjusted roughness coefficient",0.03000000000000000
"Water Level",4075.978000000000
"Water Depth",1.814899999999852
"velocity of flow",0.9593663543727199
" runoff",31.50400045346389
"factor of velocity",1.000000000000000
"Width error%",2.000000000000000
"section smooth factor",1.000000000000000
"Section area",32.83834200550292
"wetted perimeter length",54.86774032833582
"hydraulic radius",0.5984999894107893
