2017112202-1数字河道,监测时间：Lan7_2013-10-01_2013-11-01_NDWI_30m
"RS river width",33.52465376354414
"slop",0.001642325700000000
"adjusted slop",0.001642325700000000
"roughness coefficient",0.03000000000000000
" adjusted roughness coefficient",0.03000000000000000
"Water Level",4075.725600000000
"Water Depth",1.562500000000000
"velocity of flow",0.9347566599356009
" runoff",18.34036528399701
"factor of velocity",1.000000000000000
"Width error%",2.000000000000000
"section smooth factor",1.000000000000000
"Section area",19.62047030000358
"wetted perimeter length",34.08585078940821
"hydraulic radius",0.5756192040276260
