2017112202-1数字河道,监测时间：Lan7_2010-10-01_2010-11-01_NDWI_30m
"RS river width",10.47645430110755
"slop",0.001642325700000000
"adjusted slop",0.001642325700000000
"roughness coefficient",0.03000000000000000
" adjusted roughness coefficient",0.03000000000000000
"Water Level",4074.985800000000
"Water Depth",0.8226999999997133
"velocity of flow",0.6798463638091409
" runoff",2.639996929781348
"factor of velocity",1.000000000000000
"Width error%",2.000000000000000
"section smooth factor",1.000000000000000
"Section area",3.883225784998825
"wetted perimeter length",10.87649702854536
"hydraulic radius",0.3570290852658997
